X,Y,OBJECTID,CommunityName,EntityName,DataYear,PCEEligible
-1537200.80409957,470990.071658981,1,Adak,"TDX Adak Generating, LLC",2011,Yes
-10519.3318614154,771139.191692125,2,Akhiok,City of Akhiok,2011,No
-401780.778584857,1237051.63336104,3,Akiachak,Akiachak Native Community (ANC) Electric Company,2011,Yes
-390087.745779022,1235043.28228904,4,Akiak,City of Akiak,2011,Yes
-766479.910475392,525927.743350198,5,Akutan,City of Akutan,2011,Yes
-542392.68206103,1456437.72182411,6,Alakanuk,"Alaska Village Electric Cooperative, Inc",2011,Yes
57879.5116973947,1844678.29560101,7,Alatna,Alaska Power Company,2011,Yes
-262308.612461073,1040822.18417894,8,Aleknagik,"Nushagak Electric Cooperative, Incorporated",2011,Yes
60176.824355894,1845337.73673645,9,Allakaket,Alaska Power Company,2011,Yes
-168357.796042103,1908076.86269952,10,Ambler,"Alaska Village Electric Cooperative, Inc",2011,Yes
94894.1751459759,2021732.21131396,11,Anaktuvuk Pass,North Slope Borough Power & Light,2011,Yes
219654.775923324,1255116.01268035,12,Anchorage,Municipal Light & Power,2011,No
219654.775923324,1255116.01268035,13,Anchorage,"Chugach Electric Association, Inc.",2011,No
-477710.913865003,1374361.95588113,14,Andreafsky,"Alaska Village Electric Cooperative, Inc",2011,Yes
1144736.49530355,1001399.30409643,15,Angoon,"Inside Passage Electric Cooperative, Inc.",2011,Yes
-292239.010092156,1301035.34428872,16,Aniak,"Aniak Light and Power Company, Inc.",2011,Yes
-316464.020166387,1423712.40568258,17,Anvik,"Alaska Village Electric Cooperative, Inc",2011,Yes
354055.304168875,2041227.33626006,18,Arctic Village,Arctic Village,2011,No
-1366062.6920054,452266.93070329,19,Atka,City of Atka,2011,Yes
-446969.846134871,1236061.98697927,20,Atmautluak,Atmautluak Joint Utilities,2011,Yes
-130178.283503762,2281005.01007065,21,Atqasuk,North Slope Borough Power & Light,2011,Yes
-101340.08517859,2367854.78395269,22,Barrow,Barrow Utilities and Electric Cooperative Inc,2011,No
295946.081733104,1837251.58905714,23,Beaver,Beaver Joint Utilities,2011,Yes
-420708.278583235,1225426.14136511,24,Bethel,Bethel Utilities Corporation,2011,Yes
109496.401507577,1886970.73243223,25,Bettles,Alaska Power Company,2011,Yes
367734.179577302,1834380.62764397,26,Birch Creek,Birch Creek Village Electric Utilities,2011,No
-578884.171153793,1762943.25312878,27,Brevig Mission,"Alaska Village Electric Cooperative, Inc",2011,Yes
-324000.541170265,1797365.1997631,28,Buckland,City of Buckland,2011,Yes
422843.028275784,1763917.53285218,29,Central,Gold Country Energy,2011,Yes
454360.989405363,1889974.85638339,30,Chalkyitsik,Chalkyitsik Village,2011,Yes
-566470.863051303,1173895.33647436,31,Chefornak,Naterkaq Light Plant,2011,Yes
331739.412198896,1134592.127647,32,Chenega,Native Village of Chenega,2011,Yes
-611354.424221957,1336742.93808656,33,Chevak,"Alaska Village Electric Cooperative, Inc",2011,Yes
-272640.696692714,708170.914671806,34,Chignik,City of Chignik,2011,Yes
-280193.742651678,709704.775156877,35,Chignik Lagoon,Chignik Lagoon Power Utility,2011,Yes
-294536.616202522,704372.952104132,36,Chignik Lake,"Chignik Lake Electric Utility, Inc.",2011,Yes
477050.767528564,1432884.56382823,37,Chistochina,Alaska Power Company,2011,Yes
505210.692464188,1318323.26146793,38,Chitina,"Chitina Electric, Inc.",2011,Yes
-277207.120872475,1299381.93357958,39,Chuathbaluk,"Middle Kuskokwim Electric Coopertive, Inc.",2011,Yes
453138.587430948,1797102.49217214,40,Circle,"Circle Electric, LLC",2011,Yes
